MATCHED PROVIDER CHANNEL GROUPS
================================

CA / UK / US GROUPS
==================

[931] US| MATCHROOM PPV
[1996] US| MAX PPV
[1393] US| MAX PPV ⱽᴵᴾ
[1033] US| MIAMI ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1192] US| MILB PPV
[2302] US| MILB PPV ⁽ᴮᴷ⁾
[606] US| MLB PPV
[1185] US| MLB TEAM PPV
[607] US| MLS PPV
[1151] US| MLS PPV VIP
[2301] US| MLS PPV ⁽ᴮᴷ⁾
[493] US| MOVIES ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2094] US| NBA PASS PPV ⁸ᴷ
[605] US| NBA PPV
[1016] US| NBA TEAM PPV
[600] US| NBC ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1014] US| NCAAB PPV
[688] US| NCAAF PPV
[2056] US| NETFLIX ON AIR ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1648] US| NETFLIX PPV
[491] US| NEWS ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2096] US| NFHS PPV
[597] US| NFL PPV
[1501] US| NFL REPLAY
[604] US| NHL PPV
[1503] US| NHL REPLAY
[1021] US| NHL TEAM PPV
[612] US| PARAMOUNT+ ORIGINAL ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1038] US| PARAMOUNT+ PPV
[1885] US| PEACOCK NETWORK ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2196] US| PEACOCK PPV ⁽ᴮᴷ⁾
[1394] US| PEACOCK PPV ⱽᴵᴾ
[613] US| PEACOCK ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[903] US| PPV EVENT
[2222] US| PPV EVENT ⁽ᴮᴷ⁾
[1689] US| PRIME ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1888] US| ROKU ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[927] US| RUGBY PPV
[1513] US| SOCCER PPV
[1383] US| SPECTRUM NETWORK ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[492] US| SPORT ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1983] US| STAN PPV
[1112] US| SUPERCROSS PPV
[1387] US| TELEMUNDO NETWORK ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1927] US| TENNIS PPV
[1206] US| THE MASTERS PPV
[2017] US| TUBI ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1497] US| UEFA PPV
[1139] US| UFC PPV
[1591] US| VIAPLAY NHL PPV
[1243] US| WNBA PPV
[2303] US| WNBA PPV ⁽ᴮᴷ⁾
[2304] US| WNBA TEAM PPV
[2354] US| WORLD CUP PPV
[1056] US| ️HULU NETWORK ᴿᴬᵂ ⁶⁰ᶠᵖˢ
