Raw channels: 19287
Wanted remaining channels: 129
Matched: 129
Still missing: 0

MATCH | ABC.BOSTON.us | ABC Boston | score=483 | via="WCVB" | site_id="abc-wcvb-boston-ma-hd/3661" | raw="ABC (WCVB) Boston, MA HD" | raw_xmltv_id="WCVBTV501.us@SD"
MATCH | MTV2.us | MTV2 | score=489 | via="MTV2.us" | site_id="mtv-2-east-hd/10276" | raw="MTV 2 East HD" | raw_xmltv_id="MTV2.us@East"
MATCH | ADULT.SWIM.us | Adult Swim | score=504 | via="Adult Swim" | site_id="adult-swim--east-hd/7336" | raw="Adult Swim - East HD" | raw_xmltv_id="adult-swim--east-hd/7336"
MATCH | FYI.us | FYI | score=489 | via="FYI.us" | site_id="fyi-usa-hd--eastern/6211" | raw="FYI USA HD - Eastern" | raw_xmltv_id="FYI.us@East"
MATCH | COOKING.CHANNEL.us | Cooking Channel | score=343 | via="Cooking Channel" | site_id="cooking-channel-canada-hd/10210" | raw="Cooking Channel Canada HD" | raw_xmltv_id="cooking-channel-canada-hd/10210"
MATCH | LOGO.us | Logo | score=489 | via="Logo" | site_id="logo-hd--east/32944" | raw="LOGO HD - East" | raw_xmltv_id="logo-hd--east/32944"
MATCH | FOX.SPORTS.1.us | Fox Sports 1 | score=498 | via="Fox Sports 1" | site_id="fox-sports-1-hd/11137" | raw="Fox Sports 1 HD" | raw_xmltv_id="fox-sports-1-hd/11137"
MATCH | FOX.SPORTS.2.us | Fox Sports 2 | score=448 | via="Fox Sports 2" | site_id="fox-sports-2-hd/10263" | raw="Fox Sports 2 HD" | raw_xmltv_id="FoxSports2LatinAmerica.us@South"
MATCH | NFL.NETWORK.us | NFL Network | score=483 | via="NFL Network" | site_id="bell-nfl-sunday-ticket-1-hd/20088" | raw="Bell: NFL Sunday Ticket 1 HD" | raw_xmltv_id="bell-nfl-sunday-ticket-1-hd/20088"
MATCH | NHL.NETWORK.us | NHL Network | score=483 | via="NHL Network" | site_id="bell-nhl-centre-ice-1-hd/20101" | raw="Bell: NHL Centre Ice 1 HD" | raw_xmltv_id="bell-nhl-centre-ice-1-hd/20101"
MATCH | MLB.NETWORK.us | MLB Network | score=483 | via="MLB Network" | site_id="bell-mlb-extra-innings-1-hd/20123" | raw="Bell: MLB Extra Innings 1 HD" | raw_xmltv_id="bell-mlb-extra-innings-1-hd/20123"
MATCH | NBA.TV.us | NBA TV | score=483 | via="NBA TV" | site_id="bell-nba-league-pass-hd-1/30920" | raw="Bell: NBA League Pass HD 1" | raw_xmltv_id="bell-nba-league-pass-hd-1/30920"
MATCH | CBS.SPORTS.NETWORK.us | CBS Sports Network | score=498 | via="CBS Sports Network" | site_id="cbs-sports-network-canada-hd/10711" | raw="CBS Sports Network Canada HD" | raw_xmltv_id="CBSSportsNetworkCanada.ca@SD"
