# CANADA / CA CHANNEL LIST
# FULL PROVIDER EXPORT - GROUPS, CHANNEL NAMES, AND IDs
#

# ==================================================
# GROUP: CA| CANADA WEST PPV
# ==================================================
CA: SUPER CHANNEL VAULT | STREAM_ID=498665 | EPG_CHANNEL_ID=
CA: SUPER ECRAN 2 | STREAM_ID=498663 | EPG_CHANNEL_ID=SuperEcran2.ca
CA: SUPER ECRAN 4 | STREAM_ID=498661 | EPG_CHANNEL_ID=SuperEcran4.ca
CA: TCM | STREAM_ID=498660 | EPG_CHANNEL_ID=
CA: TELE QUEBEC | STREAM_ID=498659 | EPG_CHANNEL_ID=
CA: TELE TOON EAST | STREAM_ID=498658 | EPG_CHANNEL_ID=ICITeleToronto.ca
CA: TELE TOON FRENCH | STREAM_ID=498657 | EPG_CHANNEL_ID=
CA: TELEMAGINO | STREAM_ID=498656 | EPG_CHANNEL_ID=Telemagino.ca
CA: TFO | STREAM_ID=498655 | EPG_CHANNEL_ID=
CA: THE WEATHER NETWORK | STREAM_ID=498654 | EPG_CHANNEL_ID=
CA: TLC CANADA | STREAM_ID=498653 | EPG_CHANNEL_ID=tlc.ca
CA: TLN | STREAM_ID=498789 | EPG_CHANNEL_ID=
CA: TMN 1 | STREAM_ID=498805 | EPG_CHANNEL_ID=TM.mn
CA: TMN 2 | STREAM_ID=498804 | EPG_CHANNEL_ID=
CA: TMN 3 | STREAM_ID=498803 | EPG_CHANNEL_ID=
CA: TMN 4 | STREAM_ID=498802 | EPG_CHANNEL_ID=
CA: TRAVEL AND ESCAPE | STREAM_ID=498624 | EPG_CHANNEL_ID=
CA: TREEHOUSE | STREAM_ID=498652 | EPG_CHANNEL_ID=Treehouse.ca
CA: TSC | STREAM_ID=643336 | EPG_CHANNEL_ID=TodaysShoppingChoice.ca
CA: TV5 QUEBEC | STREAM_ID=498807 | EPG_CHANNEL_ID=
CA: TVA HULL HD | STREAM_ID=1044083 | EPG_CHANNEL_ID=
CA: TVA SPORTS | STREAM_ID=498806 | EPG_CHANNEL_ID=TVASports.ca
CA: TVA SPORTS 2 HD | STREAM_ID=1044084 | EPG_CHANNEL_ID=
CA: TVO | STREAM_ID=498651 | EPG_CHANNEL_ID=
CA: UNIS TV | STREAM_ID=498650 | EPG_CHANNEL_ID=UnisTV.ca
CA: VIE | STREAM_ID=498649 | EPG_CHANNEL_ID=
CA: VISION | STREAM_ID=498648 | EPG_CHANNEL_ID=Vision.ca
CA: VRAK TV | STREAM_ID=498647 | EPG_CHANNEL_ID=
CA: VTM | STREAM_ID=498711 | EPG_CHANNEL_ID=
CA: W NETWORK | STREAM_ID=498646 | EPG_CHANNEL_ID=WNetwork.ca
CA: WFN | STREAM_ID=498645 | EPG_CHANNEL_ID=
CA: WGN | STREAM_ID=498644 | EPG_CHANNEL_ID=
CA: WILD TV | STREAM_ID=498643 | EPG_CHANNEL_ID=NatGeoWild.ca
CA: WSBK | STREAM_ID=498642 | EPG_CHANNEL_ID=
CA: YES TV | STREAM_ID=498641 | EPG_CHANNEL_ID=yestv.ca
CA: YOOPA | STREAM_ID=498640 | EPG_CHANNEL_ID=
CA: YTV | STREAM_ID=498639 | EPG_CHANNEL_ID=
CA: YTV E | STREAM_ID=498623 | EPG_CHANNEL_ID=
CA: Z TELE | STREAM_ID=498638 | EPG_CHANNEL_ID=
CA: ZEE TV CANADA | STREAM_ID=498781 | EPG_CHANNEL_ID=

# ==================================================
# GROUP: CA| CBC PPV
# ==================================================
####### CBC PPV ####### | STREAM_ID=633260 | EPG_CHANNEL_ID=
CBC 10: sports|ISU Grand Prix of Figure Skating: Skate America - Mens Short Program - 19/10 16:16 | STREAM_ID=633249 | EPG_CHANNEL_ID=
CBC 11: sports|ISU Grand Prix of Figure Skating: Skate America - Womens Free Program - 19/10 18:06 | STREAM_ID=633248 | EPG_CHANNEL_ID=
CBC 12: sports|CBC Sports Late Night: FIS Freestyle Ski World Cup - FS Big Air - Chur - 19/10 23:30 | STREAM_ID=633247 | EPG_CHANNEL_ID=
CBC 13: sports|CBC Sports Late Night: FIS Snowboard World Cup - SB Big Air - Chur - 20/10 00:30 | STREAM_ID=633246 | EPG_CHANNEL_ID=
CBC 14: sports|FIBA Mens 3X3 Basketball World Tour: DAY 2 - Macau - 20/10 03:00 | STREAM_ID=633245 | EPG_CHANNEL_ID=
CBC 15: sports|World Volleyball Beach Pro Tour Elite16: DAY 4 - João Pessoa - 20/10 05:00 | STREAM_ID=633244 | EPG_CHANNEL_ID=
CBC 16: sports|2024 Toronto Waterfront Marathon - 20/10 06:00 | STREAM_ID=633243 | EPG_CHANNEL_ID=
CBC 17: sports|ISU Grand Prix of Figure Skating: Skate America - Mens Free Program - 20/10 10:04 | STREAM_ID=633242 | EPG_CHANNEL_ID=
CBC 18: sports|Canadian Long Track Speed Skating Championships: Day 4 - 20/10 10:35 | STREAM_ID=633241 | EPG_CHANNEL_ID=
CBC 19: sports|Calgary National Bank Tennis Challenger: Mens and Womens Finals - 20/10 11:00 | STREAM_ID=633240 | EPG_CHANNEL_ID=
