MOVIE / VOD CATEGORIES
======================

Total categories: 430

CATEGORY ID | CATEGORY NAME
2156 | NORGE FILM ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1317 | OSN+ MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ
1075 | PARAMOUNT PICTURES
2256 | PH - EVENTS
2237 | PH - OLD MOVIES
913 | PH - PHILIPPINES FILM
2339 | PH - PHILIPPINES REQUESTS
2236 | PH - RATED R
2238 | PH - TAGALOG DUB MOVIES
2255 | PH - TAGALOG SUB MOVIES
1168 | PK -  NAATS NASHEED
1182 | PK - KIDS
1169 | PK - NAATS
1166 | PK - PAKISTANI MOVIES
313 | PL - DZIECI
653 | PL - FILMY 4K
654 | PL - KIDS 4K
127 | PL - KINO
1686 | PL - ŚWIĄTECZNIE
862 | PT/BR - AMAZON PRIME
260 | PT/BR - ANIMAÇÃO
861 | PT/BR - APPLE TV+
1363 | PT/BR - AÇÃO
850 | PT/BR - DOCUMENTACAO
848 | PT/BR - FILMES 1960-2023
133 | PT/BR - FILMES 2025-2026
859 | PT/BR - NETFLIX
1364 | PT/BR - SUSPENSE
1361 | PT/BR - TERROR
731 | QC - ANIMATION
818 | QC - DOCUMENTAIRE
729 | QC - FILMS NOUVELLE VERSION
730 | QC - FILMS VIEILLE
735 | QC - NETFLIX
843 | QC - NOËL
971 | QC - SPECTACLES
136 | RO - MOVIES
2268 | RO - VOYO
1105 | RU - KIDS
81 | RU - MOVIES
1664 | RU - NEW RELEASE
1663 | RU - RUSSIAN 2025&OLD
2125 | SO - BOLLYWOOD
2124 | SO - HOLLYWOOD
640 | SOCCER AFL
635 | SOCCER AMERICAN FOOTBALL
637 | SOCCER BASEBALL
636 | SOCCER BASKETBALL
634 | SOCCER FOOTBALL
642 | SOCCER FORMULA 1
638 | SOCCER HOCKEY
639 | SOCCER RUGBY
641 | SOCCER UFC
999 | SUOMEN ELOKUVAT
998 | SUOMEN LAPSET
90 | SVENSKA 2020 & GAMMAL
1200 | SVENSKA AUDIOBOOKS
91 | SVENSKA BARN
167 | SVENSKA NYA UTGÅVAN
99 | TOP KIDS BLURAY (MULTI-SUBS)
92 | TOP MOVIES BLURAY (MULTI-SUBS)
1923 | TOP MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
671 | TR - ALT YAZI
2292 | TR - ANIME
116 | TR - COCUK FILM
1272 | TR - FİLMLER ⁴ᴷ ³⁸⁴⁰ᴾ
2272 | TR - HBO MAX & BLUTV FILMLERI
770 | TR - IMD FILMER
2305 | TR - NETFLIX
122 | TR - SINEMA
2359 | TR - YERLİ FİLMLER
123 | TR - YESIL CAM SINEMA
1273 | TR - ÇOCUK ⁴ᴷ ³⁸⁴⁰ᴾ
1415 | UFC ARABIA
1076 | UNIVERSAL
759 | VIAPLAY KIDS
758 | VIAPLAY MOVIES
1512 | VIAPLAY ÍSLANDS KRAKKAR
1510 | VIAPLAY ÍSLANDS KVIKMYNDIR
1613 | ÍSLANDS MOVIES
1617 | ÍSLANDS MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
331 | أغاني طرب كلاسيك
524 | أفلام آسيوية 2022
407 | أفلام أجنبية 2018
406 | أفلام أجنبية 2019
405 | أفلام أجنبية 2020
404 | أفلام أجنبية 2021
408 | أفلام أجنبية 2022
609 | أفلام أجنبية 2023
1058 | أفلام أجنبية 2024
1705 | أفلام أجنبية 2025
2040 | أفلام أجنبية 2026
66 | أفلام أجنبية قديمه
403 | أفلام أجنبيه فائقة الوضوح
615 | أفلام أسيوية 2023
1092 | أفلام أسيوية 2024
1706 | أفلام أسيوية 2025
2149 | أفلام أسيوية 2026
1123 | أفلام أسيوية قديمه
863 | أفلام أطفال فائقة الوضوح
1240 | أفلام ألمانيه 2023
495 | أفلام ألمانيه 2024
1237 | أفلام ألمانيه 2025
1238 | أفلام ألمانيه 2026
1239 | أفلام ألمانيه قديمه
1448 | أفلام احمد السقا
1445 | أفلام احمد حلمي
1447 | أفلام احمد عز
1599 | أفلام اسلامية
147 | أفلام اطفال مترجمة
1233 | أفلام اطفال مدبلجة
1623 | أفلام الكريسماس
1254 | أفلام تونسيه
1266 | أفلام جزائرية
1696 | أفلام خليجية
533 | أفلام رعب
1698 | أفلام شامية
451 | أفلام شاهد الأصلية
669 | أفلام عربية حديثه
915 | أفلام عربية فائقة الوضوح
76 | أفلام عربية قديمه
670 | أفلام عربية كلاسيك
1446 | أفلام كريم عبد العزيز
157 | أفلام كوميديه
1271 | أفلام ليبيا
1449 | أفلام محمد هنيدي
525 | أفلام مدبلجة للعربية
1697 | أفلام مصرية
1242 | أفلام مغربية
692 | أفلام نجوم العرب
616 | أفلام هندية 2023
1099 | أفلام هندية 2024
1707 | أفلام هندية 2025
2150 | أفلام هندية 2026
345 | أفلام هندية قديمه
1359 | أفلام هندية مدبلجة
100 | اغاني عربية
2039 | افلام اجنبية ترند
659 | افلام انمي مترجمة
339 | افلام تركية مترجمة
1082 | افلام تعرض في السينما الاجنبية
906 | افلام تعرض في السينما العربية
1465 | افلام دريد لحام
1460 | افلام عادل امام
787 | افلام مسيحية
1464 | افلام هاني رمزي
474 | افلام وثائقية مترجمة
1582 | الجزيرة الوثائقية
85 | رياضه متنوعه
1868 | ستاند اب كوميدي
1479 | مسرحيات خليجية
158 | مسرحيات عربيه
1478 | مسرحيات مصرية
1480 | مسرحيات مغربية
1916 | ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ افلام عربية
1915 | ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ افلام عربية
